created_at,id_str,tweets_texto,tipo,Classificador,tweets_Preprocessados,tweets_normalizados,tweets_sem_stopwords,tweets_sem_stopwords_Normal,tweets_PreprocessadosPlus,tweets_sem_stopwordsPlus
17/05/3921 23:59,"1,39E+18","Só p lembrar dos racistas protegidos. Mayra pediu q cubanos “voltassem à senzala”,  
racismo e xenofobia. Juan Delgado, o médico, foi trabalhar em Zé Doca, comunidade indígena/Maranhão: “onde médicos brasileiros não queriam ir e por isso, não estavam tirando trabalho de ninguém”.",1,Positivo,"medicina_cfm so p lembrar dos racistas protegidos mayra pediu q cubanos voltassem a senzala,  racismo e xenofobia juan delgado, o medico, foi trabalhar em ze doca, comunidade indigena/maranhao onde medicos brasileiros nao queriam ir e por isso, nao estavam tirando trabalho de ninguem",medicinacfm só para lembrar dos racistas protegidos mafra pediu que cubanos “ voltassem à senzala ” racismo e xenofobia juan delgado o médico foi trabalhar em zé doca comunidade indígena maranhão “ onde médicos brasileiros não queriam ir e por isso não estavam tirando trabalho de ninguém ”,"medicina_cfm so p lembrar racistas protegidos mayra pediu q cubanos voltassem senzala, racismo xenofobia juan delgado, medico, trabalhar ze doca, comunidade indigena/maranhao medicos brasileiros nao queriam isso, nao tirando trabalho ninguem",medicinacfm lembrar racistas protegidos mafra pediu cubanos “ voltassem senzala ” racismo xenofobia juan delgado médico trabalhar zé doca comunidade indígena maranhão “ médicos brasileiros queriam tirando trabalho ninguém ”,medicinacfm so para lembrar dos racistas protegidos mafra pediu que cubanos  voltassem a senzala  racismo e xenofobia juan delgado o medico foi trabalhar em ze doca comunidade indigena maranhao  onde medicos brasileiros nao queriam ir e por isso nao estavam tirando trabalho de ninguem,medicinacfm so lembrar racistas protegidos mafra pediu cubanos voltassem senzala racismo xenofobia juan delgado medico trabalhar ze doca comunidade indigena maranhao medicos brasileiros nao queriam nao tirando trabalho ninguem
17/05/3921 23:59,"1,39E+18","Falou o homem que fugiu do Brasil e hoje mora na Europa. 
Ciro não disse mentiras, só mostrou verdades. O que me assusta é um ex deputado federal, nordestino, usar de xenofobia para atacar um representante do Ceará. Prove que ele é coronel. Prove que ele disse mentiras. Vc é um ",0,Negativo,"jeanwyllys_real falou o homem que fugiu do brasil e hoje mora na europa ciro nao disse mentiras, so mostrou verdades o que me assusta e um ex deputado federal, nordestino, usar de xenofobia para atacar um representante do ceara prove que ele e coronel prove que ele disse mentiras vc e um ",jeanwyllysreal falou o homem que fugiu do brasil e hoje mora na europa ciro não disse mentiras só mostrou verdades o que me assusta é um ex deputado federal nordestino usar de xenofobia para atacar um representante do ceará prove que ele é coronel prove que ele disse mentiras você é um 🤮,"jeanwyllys_real falou homem fugiu brasil hoje mora europa ciro nao disse mentiras, so mostrou verdades assusta ex deputado federal, nordestino, xenofobia atacar representante ceara prove coronel prove disse mentiras vc",jeanwyllysreal falou homem fugiu brasil hoje mora europa ciro disse mentiras mostrou verdades assusta ex deputado federal nordestino xenofobia atacar representante ceará prove coronel prove disse mentiras 🤮,jeanwyllysreal falou o homem que fugiu do brasil e hoje mora na europa ciro nao disse mentiras so mostrou verdades o que me assusta e um ex deputado federal nordestino usar de xenofobia para atacar um representante do ceara prove que ele e coronel prove que ele disse mentiras voce e um,jeanwyllysreal falou homem fugiu brasil hoje mora europa ciro nao disse mentiras so mostrou verdades assusta ex deputado federal nordestino xenofobia atacar representante ceara prove coronel prove disse mentiras voce
17/05/3921 23:58,"1,39E+18","Pronto, começou o cabaré! Pra que chamar o Ciro de coronel? Isso é xenofobia pura.",2,Nao Classificado,"pronto, comecou o cabare! pra que chamar o ciro de coronel? isso e xenofobia pura ",pronto começou o cabaré pra que chamar o ciro de coronel isso é xenofobia pura httpstcoa39r8hhocu,"pronto, comecou cabare! pra chamar ciro coronel? xenofobia pura",pronto começou cabaré pra chamar ciro coronel xenofobia pura httpstcoa39r8hhocu,pronto comecou o cabare pra que chamar o ciro de coronel isso e xenofobia pura,pronto comecou cabare pra chamar ciro coronel xenofobia pura
17/05/3921 23:58,"1,39E+18","Eu sendo Ciro gomes saia metendo processo em quem chama ele de coronel, isso é xenofobia e assim como qualquer outro tipo de preconceito, deve ser punido.",2,Nao Classificado,"rt tatunsobeemtoco eu sendo cirogomes saia metendo processo em quem chama ele de coronel, isso e xenofobia e assim como qualquer outro tipo de preconceito, deve ser punido.","retweeet tatunsobeemtoco eu sendo cirogomes saia metendo processo em quem chama ele de coronel isso é xenofobia e assim como qualquer outro tipo de preconceito, deve ser punido.","rt tatunsobeemtoco sendo cirogomes saia metendo processo chama coronel, xenofobia outro tipo de preconceito, deve ser punido.",retweeet tatunsobeemtoco sendo cirogomes saia metendo processo chama coronel xenofobia outro,"retweeet tatunsobeemtoco eu sendo cirogomes saia metendo processo em quem chama ele de coronel isso e xenofobia e assim como qualquer outro tipo de preconceito, deve ser punido.",retweeet tatunsobeemtoco sendo cirogomes saia metendo processo chama coronel xenofobia outro
17/05/3921 23:57,"1,39E+18","Só pq é com a Dua, o machismo e q Xenofobia escancarada",2,Nao Classificado,"chartdata so pq e com a dua, o machismo e q xenofobia escancarada",chartdata só porque é com a adua o machismo e que xenofobia escancarada,"chartdata so pq dua, machismo q xenofobia escancarada",chartdata adua machismo xenofobia escancarada,chartdata so porque e com a adua o machismo e que xenofobia escancarada,chartdata so adua machismo xenofobia escancarada
17/05/3921 23:57,"1,39E+18","tá aqui no Brasil lutando tbm? Se não está, não tem direito a fala. Xenofobia não é argumento. Se acha mais educado que o Ciro gomes ? Dê exemplo.
Você é um fujão covarde! Seja como o Marcelo Freixo , esse sim é exemplo de luta na esquerda, vc não.",0,Negativo,"jeanwyllys_real cade voce, jeanwyllys_real , ta aqui no brasil lutando tbm? se nao esta, nao tem direito a fala xenofobia nao e argumento se acha mais educado que o cirogomes ? de exemplo
voce e um fujao covarde! seja como o marcelofreixo , esse sim e exemplo de luta na esquerda, vc nao",jeanwyllysreal cadê você jeanwyllysreal está aqui no brasil lutando também se não está não tem direito a fala xenofobia não é argumento se acha mais educado que o cirogomes dê exemplo você é um fujão covarde seja como o marcelofreixo esse sim é exemplo de luta na esquerda você não,"jeanwyllys_real cade voce, jeanwyllys_real , ta brasil lutando tbm? nao esta, nao direito fala xenofobia nao argumento acha educado cirogomes ? voce fujao covarde! marcelofreixo , luta esquerda, vc nao",jeanwyllysreal cadê jeanwyllysreal brasil lutando direito fala xenofobia argumento acha educado cirogomes dê fujão covarde marcelofreixo luta esquerda,jeanwyllysreal cade voce jeanwyllysreal esta aqui no brasil lutando tambem se nao esta nao tem direito a fala xenofobia nao e argumento se acha mais educado que o cirogomes de exemplo voce e um fujao covarde seja como o marcelofreixo esse sim e exemplo de luta na esquerda voce nao,jeanwyllysreal cade voce jeanwyllysreal brasil lutando tambem nao nao direito fala xenofobia nao argumento acha educado cirogomes voce fujao covarde marcelofreixo luta esquerda voce nao
17/05/3921 23:57,"1,39E+18",Eu falei das pessoas imaturas e você vem com essa de racismo e xenofobia eu não entendi esse seu pinto de vista me explique aonde isso se encaixa aqui,2,Nao Classificado,bangtaninmicasa lolisksk yutarlert bts_twt eu falei das pessoas imaturas e voce vem com essa de racismo e xenofobia eu nao entendi esse seu pinto de vista me explique aonde isso se encaixa aqui,bangtaninmicasa lolisksk yutarlert btstwt eu falei das pessoas imaturas e você vem com essa de racismo e xenofobia eu não entendi esse seu pinto de vista me explique aonde isso se encaixa aqui,bangtaninmicasa lolisksk yutarlert bts_twt falei pessoas imaturas voce racismo xenofobia nao entendi pinto vista explique aonde encaixa,bangtaninmicasa lolisksk yutarlert btstwt falei pessoas imaturas racismo xenofobia entendi pinto vista explique aonde encaixa,bangtaninmicasa lolisksk yutarlert btstwt eu falei das pessoas imaturas e voce vem com essa de racismo e xenofobia eu nao entendi esse seu pinto de vista me explique aonde isso se encaixa aqui,bangtaninmicasa lolisksk yutarlert btstwt falei pessoas imaturas voce racismo xenofobia nao entendi pinto vista explique aonde encaixa
17/05/3921 23:57,"1,39E+18",Usa termos xenófobos e quando acusado fica na negação ao invés de ter bom senso,0,Negativo,rt lufe_silva jeanwyllys_real ticostacruz cirogomes usa termos xenofobos e quando acusado fica na negacao ao inves de ter bom senso,retweeet lufesilva jeanwyllysreal ticostacruz cirogomes usa termos xenófobos e quando acusado fica na negação ao invés de ter bom senso ,rt lufe_silva jeanwyllys_real ticostacruz cirogomes termos xenofobos acusado fica negacao inves senso ,retweeet lufesilva jeanwyllysreal ticostacruz cirogomes termos xenófobos acusado fica negação invés senso,retweeet lufesilva jeanwyllysreal ticostacruz cirogomes usa termos xenofobos e quando acusado fica na negacao ao inves de ter bom senso,retweeet lufesilva jeanwyllysreal ticostacruz cirogomes termos xenofobos acusado fica negacao inves senso
17/05/3921 23:55,"1,39E+18","cara, não gosta de china? você que se afogue na sua xenofobia, mas tira o pé da minha vacina",0,Negativo,"cara, nao gosta de china? voce que se afogue na sua xenofobia, mas tira o pe da minha vacina",cara não gosta de china você que se afogue na sua xenofobia mas tira o pé da minha vacina,"cara, nao gosta china? voce afogue xenofobia, tira pe vacina",cara gosta china afogue xenofobia tira pé vacina,cara nao gosta de china voce que se afogue na sua xenofobia mas tira o pe da minha vacina,cara nao gosta china voce afogue xenofobia tira pe vacina
17/05/3921 23:54,"1,39E+18","Xenofobia e ignorância política na esquerda?
Tem sim, senhor. ",2,Nao Classificado,"xenofobia e ignorancia politica na esquerda?
tem sim, senhor ",xenofobia e ignorância política na esquerda tem sim senhor httpstcoml6z81astd,"xenofobia ignorancia politica esquerda? sim, senhor",xenofobia ignorância política esquerda senhor httpstcoml6z81astd,xenofobia e ignorancia politica na esquerda tem sim senhor,xenofobia ignorancia politica esquerda senhor
